Input,Answer,Confidence,All answers,Answer_3_classes,ChatGPT-4 5 classes,ChatGPT-4 3 classes,Model_agreement_with_human,model_agreement_with_human_3_classes,ChatGPT-3.5 5 classes,ChatGPT-3.5 3 classes,LLaMA 5 classes,LLaMA 3 classes,LLaMA 70B 5 classes,LLaMA 70B 3 classes,deberta-v3-large-nli_3_classes,Model_agreement_with_human_gpt3.5_turbo,model_agreement_with_human_3_classes_gpt3.5_turbo,Model_agreement_with_human_LLaMA_8B,Model_agreement_with_human_3_classes_LLaMA_8B,Model_agreement_with_human_LLaMA_70B,Model_agreement_with_human_3_classes_LLaMA_70B,Model_agreement_with_human_3_classes_deberta_nli,human_human_agreement,human_crowd_wisdom_agreement,chatgpt4_crowd_wisdom_agreement,chatgpt3_5_crowd_wisdom_agreement,llama_8b_crowd_wisdom_agreement,llama_70b_crowd_wisdom_agreement,chatgpt4_individuals_agreement,chatgpt3_5_individuals_agreement,llama_8b_individuals_agreement,llama_70b_individuals_agreement,Annotator_explanations,Explanations,Who_explained,NLI_ChatGPT4_turbo,Avg_synthetic_agreement,LLaMA 8B 5 runs,LLaMA 70B 5 runs,Llama 8B majority,Llama 70B majority,ChatGPT-3.5 5 runs,ChatGPT-4 5 runs,ChatGPT-3.5 majority,ChatGPT-4 majority,Llama 8B majority 3 class,Llama 70B majority 3 class,ChatGPT-3.5 majority 3 class,ChatGPT-4 majority 3 class,bart_NLI,ChatGPT-4 Confidence,ChatGPT-3.5 Confidence,LLaMA 8B Confidence,LLaMA 70B Confidence
"Text 1: The states of Berlin and Brandenburg have enough to handle with the major project of Airport and its skyrocketing costs at the expense of taxpayers.

Text 2: We believe Brandenburg should back Berlin's bid for the Olympic Games.",Indirect inconsistency,20.0,"['Indirect inconsistency', 'Surface contradiction', 'Unrelated', 'Consistent', 'Factual inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,0.6,Factual inconsistency,Inconsistent,Surface contradiction,Consistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,0.6,0.2,0.2,0.2,0.6,0.6,0.0,0.0,0.8,0.0,0.2,0.8,0.2,0.2,0.2,0.2,0,0,0,Unrelated,0.6,"['Surface contradiction', 'Unrelated', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Consistent,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Unrelated', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Consistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,80,60,60,100
"Text 1: We support small businesses and international businesses.

Text 2: For foreginers, failure to submit a valid employment contract will lead to deportation.",Unrelated,80.0,"['Unrelated', 'Indirect inconsistency', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,0.8,0.8,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.6,0.8,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0,0,0,Unrelated,1.0,"['Factual inconsistency', 'Unrelated', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Surface contradiction,Unrelated,Inconsistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,100,100,80,100
"Text 1:  The government is committed to supporting the arts.

Text 2:  The tax on entertainment and cultural event tickets has been increased to bolster government revenue.",Factual inconsistency,40.0,"['Factual inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Factual inconsistency']",Inconsistent,Factual inconsistency,Inconsistent,0.4,1.0,Factual inconsistency,Inconsistent,Unrelated,Unrelated,Indirect inconsistency,Inconsistent,Consistent,0.4,1.0,0.0,0.0,0.4,1.0,0.0,0.2,0.0,0.6,0.6,0.0,0.4,0.4,0.4,0.0,0.4,0,0,0,Unrelated,0.5,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,100,100
"Text 1: Free Democrats are of the opinion that services received must be paid for.

Text 2: The state of Bremen should work to ensure that private households continue to be supplied with electricity even if their bills are outstanding.",Factual inconsistency,80.0,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.0,1.0,Surface contradiction,Inconsistent,Unrelated,Consistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,1.0,0.0,0.0,0.0,1.0,1.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0,Unrelated,1.0,"['Unrelated', 'Unrelated', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,60,60,100
"Text 1: Museums should be less regulated in terms of the tools they use for making profit.

Text 2: Entrance to state museums must be free for everyone.",Indirect inconsistency,40.0,"['Factual inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.4,1.0,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.4,1.0,0.2,1.0,0.4,1.0,1.0,0.2,0.0,0.6,0.4,0.0,0.6,0.4,0.4,0.2,0.4,0,0,0,Contradiction,0.3,"['Factual inconsistency', 'Consistent', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,60,100
"Text 1: If we don't deliver arms abroad, others will.

Text 2: We advocate for a general ban on arms exports by German companies.",Factual inconsistency,40.0,"['Factual inconsistency', 'Consistent', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency']",Inconsistent,Surface contradiction,Inconsistent,0.4,0.8,Factual inconsistency,Inconsistent,Factual inconsistency,Consistent,Surface contradiction,Consistent,Inconsistent,0.4,0.8,0.4,0.2,0.4,0.2,0.8,0.2,0.0,0.4,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0,"['Text 1 suggests that arms export is inevitable and therefore a country will benefit more if it participates in it. Text 2, on the contrary, advocates for arms export ban in Germany, which will not be beneficial to Germany. Therefore, the two texts represent a factual inconsistecy.', 'Text A support the delivery of arms. Text B advocates for banning the exports of arms by Germany. This is a factual inconsistency as the positions directly contradict each other, challenging their truths.']","['v1', 'v8']",Unrelated,0.5,"['Factual inconsistency', 'Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction', 'Surface contradiction']",Surface contradiction,Surface contradiction,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,80,80,60,60
"Text 1:  We aim to promote tourism and make our country a top global destination.

Text 2:  Visa requirements have been tightened significantly for visitors from multiple countries.",Factual inconsistency,60.0,"['Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.6,1.0,0.6,1.0,0.2,1.0,1.0,0.3,0.6,0.0,1.0,1.0,0.0,0.2,0.6,0.6,0.2,0,0,0,Unrelated,0.8,"['Factual inconsistency', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,60,80,100
"Text 1: Projects to combat left-wing extremism have to be promoted.

Text 2: The country should provide all students with digital devices for free.",Unrelated,100.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,1.0,1.0,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Inconsistent,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Unrelated,1.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Inconsistent,100,100,100,100
"Text 1: People with disabilities should have a legal right to a training place.

Text 2: Universities should be able to choose all their students themselves.",Surface contradiction,60.0,"['Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Unrelated,0.4,0.0,Indirect inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.4,1.0,0.0,1.0,0.4,1.0,1.0,0.4,0.0,0.6,0.6,0.0,0.6,0.4,0.4,0.0,0.4,0,0,0,Unrelated,0.7,"['Factual inconsistency', 'Consistent', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,"['Indirect inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Unrelated']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,80,40,60,100
"Text 1: Bavaria should promote migrant cultural initiatives.

Text 2: Social housing should be given primarily to Germans.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Unrelated']",Inconsistent,Indirect inconsistency,Inconsistent,0.6,0.6,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,0.6,0.0,0.6,0.6,0.6,0.6,0.4,0.6,1.0,0.0,0.0,1.0,0.6,0.0,0.0,0.6,0,"[""Text A supports migrants. Text B prioritizes Germans' housing, which in turn leaves migrants in a less favorable position. So there is an indirect inconsistency.""]",['v8'],Unrelated,0.7,"['Factual inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,100,80,60,100
"Text 1: The state should provide greater financial support for travel tickets for trainees, pupils and students.

Text 2: If parents repeatedly refuse help from the youth welfare office, their state benefits should be cut.",Unrelated,80.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Indirect inconsistency', 'Unrelated']",Unrelated,Unrelated,Unrelated,0.8,0.8,Factual inconsistency,Inconsistent,Unrelated,Inconsistent,Unrelated,Inconsistent,Inconsistent,0.0,0.2,0.8,0.2,0.8,0.2,0.2,0.6,0.8,1.0,0.0,1.0,1.0,0.8,0.0,0.8,0.8,0,0,0,Unrelated,1.0,"['Unrelated', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Inconsistent,Unrelated,Inconsistent,Unrelated,Consistent,100,100,80,100
"Text 1: We advocate for implementing stricter animal protection regulations to ensure livestock have permanent access to outdoor areas.

Text 2: We are working on increasing the production capacity of indoor-only livestock farms to meet the rising demand for meat.",Surface contradiction,70.0,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Surface contradiction,Inconsistent,Inconsistent,0.1,1.0,0.1,1.0,0.7,1.0,1.0,0.4888888888888889,0.7,0.0,0.0,0.0,1.0,0.2,0.1,0.1,0.7,0,0,0,Contradiction,0.8166666666666667,"['Factual inconsistency', 'Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency']",Surface contradiction,Factual inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,60,100,60,60
"Text 1:  The city is dedicated to reducing traffic congestion by encouraging carpooling and public transport use.

Text 2:  Public transport fees have been increased to fund infrastructure improvements.",Factual inconsistency,40.0,"['Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Consistent']",Inconsistent,Indirect inconsistency,Inconsistent,0.4,0.8,Factual inconsistency,Inconsistent,Unrelated,Consistent,Indirect inconsistency,Inconsistent,Inconsistent,0.4,0.8,0.0,0.2,0.4,0.8,0.8,0.2,0.0,0.4,0.6,0.0,0.4,0.4,0.4,0.0,0.4,0,0,0,Unrelated,0.7,"['Unrelated', 'Consistent', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Factual inconsistency', 'Surface contradiction']","['Consistent', 'Indirect inconsistency', 'Consistent', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Consistent,60,40,80,100
"Text 1: Aviation fuel kerosene is to be tax-free for flights within the EU.

Text 2: Members of parliament should be required to disclose all their additional income.",Unrelated,100.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,1.0,1.0,Factual inconsistency,Inconsistent,Unrelated,Unrelated,Unrelated,Unrelated,Inconsistent,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,Unrelated,1.0,"['Unrelated', 'Unrelated', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Surface contradiction,Unrelated,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Inconsistent,Unrelated,Inconsistent,Unrelated,Consistent,100,100,60,100
"Text 1: Genetically modified foods should be allowed to be produced in Germany.

Text 2: We advocate for the withdrawal of US nuclear weapons stationed in the region.",Unrelated,100.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,1.0,1.0,Factual inconsistency,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Inconsistent,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,"['The suggestion in Text 1 was not related to withdrowing nuclear powers in the region, which was the topic of text 2. The truths of the both texts did not contradict each other.']",['v1'],Unrelated,1.0,"['Unrelated', 'Unrelated', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Surface contradiction,Unrelated,"['Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Inconsistent,Unrelated,Inconsistent,Unrelated,Consistent,100,80,60,100
"Text 1: The last year of kindergarten should be compulsory in preparation for primary school.

Text 2: Parents should be free to choose the school for their child.",Unrelated,80.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Indirect inconsistency']",Unrelated,Unrelated,Unrelated,0.8,0.8,Surface contradiction,Inconsistent,Consistent,Inconsistent,Consistent,Consistent,Inconsistent,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.6,0.8,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0,0,0,Unrelated,1.0,"['Consistent', 'Consistent', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Consistent', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Surface contradiction', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Consistent', 'Unrelated', 'Consistent', 'Consistent']",Surface contradiction,Consistent,Inconsistent,Inconsistent,Inconsistent,Consistent,Inconsistent,60,80,60,80
"Text 1: We strongly advocate for international cooperation and a united global front to combat terrorism and security threats from all sources.

Text 2: We oppose any multilateral aid packages that involve shared intelligence or military collaboration with other countries.",Surface contradiction,60.0,"['Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,1.0,0.2,1.0,0.2,1.0,1.0,0.3,0.6,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0,0,0,Contradiction,0.7,"['Factual inconsistency', 'Indirect inconsistency', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Consistent,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Consistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,80,100,60,100
"Text 1:  We are commited to setting high standards in green innovations in our industry.

Text 2:  80% of our discarded production is incinerated or landfill-bound.",Indirect inconsistency,60.0,"['Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency']",Inconsistent,Factual inconsistency,Inconsistent,0.4,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.4,1.0,0.4,1.0,0.6,1.0,1.0,0.4,0.0,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0,0,0,Contradiction,0.7,"['Factual inconsistency', 'Factual inconsistency', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,60,80
"Text 1: The final kindergarten year before school enrollment should be mandatory.

Text 2: Every child must pass a language test before starting school.",Consistent,60.0,"['Unrelated', 'Unrelated', 'Consistent', 'Consistent', 'Consistent']",Consistent,Consistent,Consistent,0.6,0.6,Factual inconsistency,Inconsistent,Unrelated,Consistent,Consistent,Consistent,Consistent,0.0,0.0,0.4,0.6,0.6,0.6,0.6,0.4,0.0,0.4,0.0,0.6,0.4,0.6,0.0,0.4,0.6,0,0,0,Unrelated,0.7,"['Unrelated', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Consistent', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Consistent,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction', 'Indirect inconsistency']","['Unrelated', 'Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Unrelated']",Factual inconsistency,Unrelated,Consistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,60,60,80,80
"Text 1: Long-term students are a significant part of our electorate. We still need them.

Text 2: We support maintaining fees for long-term students in the state.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency']",Inconsistent,Consistent,Consistent,0.0,0.0,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.4,1.0,0.0,1.0,0.6,1.0,1.0,0.4,0.6,0.0,0.0,0.0,1.0,0.0,0.4,0.0,0.6,0,0,0,Unrelated,0.7,"['Factual inconsistency', 'Factual inconsistency', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency']",Unrelated,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']","['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']",Surface contradiction,Consistent,Unrelated,Inconsistent,Inconsistent,Consistent,Consistent,100,60,60,80
"Text 1: We are committed to enhancing public health through stringent anti-smoking regulations.

Text 2: We have recently lowered the taxes on tobacco products to boost the local market.",Factual inconsistency,80.0,"['Factual inconsistency', 'Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']",Inconsistent,Factual inconsistency,Inconsistent,0.8,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Surface contradiction,Inconsistent,Inconsistent,0.8,1.0,0.8,1.0,0.2,1.0,1.0,0.6,0.8,1.0,1.0,1.0,0.0,0.8,0.8,0.8,0.2,0,0,0,Contradiction,1.0,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Factual inconsistency,Surface contradiction,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']",Factual inconsistency,Factual inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,100,100,100,100
"Text 1: New coal power plants should be built in Lower Saxony.

Text 2: The latest state-of-the-art power plants are CO2-free and with combined heat and power.",Unrelated,40.0,"['Factual inconsistency', 'Unrelated', 'Unrelated', 'Indirect inconsistency', 'Consistent']",Unrelated,Indirect inconsistency,Unrelated,0.2,0.4,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Inconsistent,0.2,0.4,0.2,0.4,0.2,0.4,0.4,0.1,0.0,0.0,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0,0,0,Unrelated,0.5,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency']",Factual inconsistency,Factual inconsistency,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Unrelated', 'Indirect inconsistency', 'Unrelated', 'Unrelated', 'Unrelated']",Surface contradiction,Unrelated,Inconsistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,80,80,100,60
